Nome; CPF; Contrato; Produto; Vencimento; Valor
Aline Batista;123.456.780-10;1122;Crédito pessoal;15/02/2021;32500,40
João Victor Mota;201.045.330-91;4587;Financiamento imobiliário;03/12/2020;98500,00
Marcos Pereira;789.654.120-33;3399;Cartão de crédito;29/07/2020;8700,75
Helena Oliveira;312.908.450-66;7721;Cheque especial;11/11/2019;14500,00
Eduardo Sampaio;623.710.990-44;6677;Financiamento veículo;05/10/2020;55000,20
Marcos Pereira;789.654.120-33;5588;Crédito pessoal;17/03/2021;45500,10
Aline Batista;123.456.780-10;2234;Cartão de crédito;21/08/2020;7050,60
Eduardo Sampaio;623.710.990-44;7901;Financiamento imobiliário;19/01/2020;150000,00
Bianca Costa;587.321.660-08;6412;Crédito pessoal;14/04/2019;25800,99
Rodrigo Azevedo;934.285.220-55;9210;Cartão de crédito;10/06/2021;18750,50
Rodrigo Azevedo;934.285.220-55;9341;Cheque especial;25/02/2020;3500,00
Gabriela Nogueira;715.902.480-17;4815;Financiamento veículo;30/09/2019;32000,00
Pedro Ramos;067.218.540-29;3888;Financiamento imobiliário;12/12/2020;230000,00
Lucas Lima;801.604.370-71;5005;Crédito pessoal;09/07/2019;42000,42
Tatiana Mendes;559.016.880-62;6124;Cartão de crédito;06/03/2020;12000,80
Tatiana Mendes;559.016.880-62;8899;Crédito pessoal;18/01/2021;28500,30
Rafael Costa;188.455.760-95;7002;Cheque especial;02/05/2019;4500,00
Rafael Costa;188.455.760-95;7555;Financiamento veículo;28/08/2020;68000,10
Daniela Alves;371.092.680-04;3129;Financiamento imobiliário;11/11/2020;98000,00
Daniela Alves;371.092.680-04;4433;Cartão de crédito;17/07/2019;15000,25
